concept_key,preferred_name,semantic_definition,entity_level,value_type,cardinality,structured_shape_ref,source_of_truth_kind,read_contract,write_contract,applicability_kind,owner_candidate,representation_candidate,localization_kind,vocabulary_kind,concept_status,evidence_platforms,evidence_coverage_count,alias_concept_keys,broader_concept_key,conflicts_with_concept_keys,decision_reference,confidence,review_status,review_note
bigcommerce:product:modifiers,modifiers,"BigCommerce product modifiers capability.",Product,list,many,array[#/components/schemas/productModifier_Full],merchant_or_domain,readable,specialized_or_read_only,provider_context,ProductComposition,structured_capability,not_localizable,open_or_typed,domain,bigcommerce,1,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:product:name,name,"A unique product name.",Product,string,optional_one,not_applicable,merchant_or_domain,readable,writable,provider_context,ProductData,provider_field,not_localizable,open_or_typed,reusable_candidate,bigcommerce,1,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:product:open_graph_description,"open graph description","Description to use for the product, if not specified then the meta_description will be used instead.",Product,string,optional_one,not_applicable,merchant_or_domain,readable,writable,provider_context,Connector,channel_context,not_localizable,open_or_typed,channel,bigcommerce,1,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:product:open_graph_title,"open graph title","Title of the product, if not specified the product name will be used instead.",Product,string,optional_one,not_applicable,merchant_or_domain,readable,writable,provider_context,Connector,channel_context,not_localizable,open_or_typed,channel,bigcommerce,1,not_applicable,not_applicable,bigcommerce:product:custom_url,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:product:open_graph_type,"open graph type","Type of product, defaults to `product`.",Product,object_or_controlled,optional_one,ref:#/components/schemas/ProductBasePostOpenGraphType,merchant_or_domain,readable,writable,provider_context,Connector,channel_context,not_localizable,provider_controlled,channel,bigcommerce,1,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:product:open_graph_use_image,"open graph use image","Flag to determine if product image or open graph image is used.",Product,boolean,optional_one,not_applicable,merchant_or_domain,readable,writable,provider_context,Connector,channel_context,not_localizable,open_or_typed,channel,bigcommerce,1,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:product:open_graph_use_meta_description,"open graph use meta description","Flag to determine if product description or open graph description is used.",Product,boolean,optional_one,not_applicable,merchant_or_domain,readable,writable,provider_context,Connector,channel_context,not_localizable,open_or_typed,channel,bigcommerce,1,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:product:open_graph_use_product_name,"open graph use product name","Flag to determine if product name or open graph name is used.",Product,boolean,optional_one,not_applicable,merchant_or_domain,readable,writable,provider_context,Connector,channel_context,not_localizable,open_or_typed,channel,bigcommerce,1,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:product:option_set_display,"option set display","Legacy template setting which controls if the option set shows up to the side of or below the product image and description.",Product,string,optional_one,not_applicable,merchant_or_domain,readable,specialized_or_read_only,provider_context,Connector,channel_context,not_localizable,open_or_typed,channel,bigcommerce,1,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:product:option_set_id,"option set id","Indicates that the product is in an Option Set (legacy V2 concept).",Product,integer,optional_one,not_applicable,merchant_or_domain,readable,specialized_or_read_only,provider_context,Connector,channel_context,not_localizable,open_or_typed,channel,bigcommerce,1,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:product:options,options,"BigCommerce product options capability.",Product,list,many,array[#/components/schemas/productOption_Base],merchant_or_domain,readable,specialized_or_read_only,provider_context,ProductComposition,structured_capability,not_localizable,open_or_typed,domain,bigcommerce,1,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:product:order_quantity_maximum,"order quantity maximum","The maximum quantity an order can contain when purchasing the product.",Product,integer,optional_one,not_applicable,merchant_or_domain,readable,writable,provider_context,ProductData,provider_field,not_localizable,open_or_typed,reusable_candidate,bigcommerce,1,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:product:order_quantity_minimum,"order quantity minimum","The minimum quantity an order must contain, to be eligible to purchase this product.",Product,integer,optional_one,not_applicable,merchant_or_domain,readable,writable,provider_context,ProductData,provider_field,not_localizable,open_or_typed,reusable_candidate,bigcommerce,1,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:product:page_title,"page title","Custom title for the product page. If not defined, the product name will be used as the meta title.",Product,string,optional_one,not_applicable,merchant_or_domain,readable,writable,provider_context,ProductData,provider_field,not_localizable,open_or_typed,reusable_candidate,bigcommerce,1,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:product:preorder_message,"preorder message","Custom expected-date message to display on the product page. If undefined, the message defaults to the storewide setting. Can contain the `%%DATE%%` placeholder, which will be substituted for the release date.",Product,string,optional_one,not_applicable,merchant_or_domain,readable,writable,provider_context,ProductData,provider_field,not_localizable,open_or_typed,reusable_candidate,bigcommerce,1,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:product:preorder_release_date,"preorder release date","Pre-order release date. See the `availability` field for details on setting a productʼs availability to accept pre-orders.",Product,string,optional_one,not_applicable,merchant_or_domain,readable,writable,provider_context,ProductData,provider_field,not_localizable,open_or_typed,reusable_candidate,bigcommerce,1,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:product:price_hidden_label,"price hidden label","By default, an empty string. If `is_price_hidden` is `true`, the value of `price_hidden_label` is displayed instead of the price. (NOTE: To successfully set a non-empty string value with `is_price_hidden` set to `true`, the `availability` value must be `disabled`.)",Product,string,optional_one,not_applicable,merchant_or_domain,readable,writable,provider_context,Connector,channel_context,not_localizable,open_or_typed,channel,bigcommerce,1,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:product:primary_image,"primary image","BigCommerce product primary_image capability.",Product,object_or_controlled,optional_one,ref:#/components/schemas/primaryImage_Full,merchant_or_domain,readable,specialized_or_read_only,provider_context,Media,domain_value,not_localizable,provider_controlled,domain,bigcommerce,1,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:product:product_tax_code,"product tax code","Tax Codes, such as AvaTax System Tax Codes, identify products and services that fall into special sales-tax categories. By using these codes, merchants who subscribe to a tax provider integration, such as BigCommerceʼs Avalara Premium, can calculate sales taxes more accurately. Stores without a tax provider will ignore the code when calculating sales tax. Do not pass more than one code. The codes are case-sensitive. For details, please see the tax providerʼs documentation.",Product,string,optional_one,not_applicable,merchant_or_domain,readable,writable,provider_context,Connector,channel_context,not_localizable,open_or_typed,channel,bigcommerce,1,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:product:related_products,"related products","An array of IDs for the related products.",Product,list,many,array[integer],merchant_or_domain,readable,writable,provider_context,ProductComposition,structured_capability,not_localizable,open_or_typed,domain,bigcommerce,1,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:product:reviews_count,"reviews count","The number of times the product has been rated.",Product,integer,optional_one,not_applicable,provider_owned,readable,writable,provider_context,Connector,read_or_platform_projection,not_localizable,open_or_typed,projection,bigcommerce,1,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:product:reviews_rating_sum,"reviews rating sum","The total (cumulative) rating for the product.",Product,integer,optional_one,not_applicable,provider_owned,readable,writable,provider_context,Connector,read_or_platform_projection,not_localizable,open_or_typed,projection,bigcommerce,1,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:product:search_keywords,"search keywords","A comma-separated list of keywords that can be used to locate the product when searching the store.",Product,string,optional_one,not_applicable,merchant_or_domain,readable,writable,provider_context,ProductData,provider_field,not_localizable,open_or_typed,reusable_candidate,bigcommerce,1,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:product:sort_order,"sort order","Priority to give this product when included in product lists on category pages and in search results. Lower integers will place the product closer to the top of the results.",Product,integer,optional_one,not_applicable,merchant_or_domain,readable,writable,provider_context,Connector,channel_context,not_localizable,open_or_typed,channel,bigcommerce,1,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:product:tax_class_id,"tax class id","The ID of the tax class applied to the product. (NOTE: Value ignored if automatic tax is enabled.)",Product,decimal,optional_one,not_applicable,merchant_or_domain,readable,writable,provider_context,Connector,channel_context,not_localizable,open_or_typed,channel,bigcommerce,1,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:product:total_sold,"total sold","The total quantity of this product sold.",Product,integer,optional_one,not_applicable,provider_owned,readable,writable,provider_context,Connector,read_or_platform_projection,not_localizable,open_or_typed,projection,bigcommerce,1,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:product:type,type,"The product type. One of: `physical` - a physical stock unit, `digital` - a digital download.",Product,object_or_controlled,optional_one,ref:#/components/schemas/ProductBasePostType,merchant_or_domain,readable,writable,provider_context,Connector,channel_context,not_localizable,provider_controlled,channel,bigcommerce,1,not_applicable,not_applicable,bigcommerce:product_option:type|bigcommerce:product_modifier:type,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:product:variants,variants,"BigCommerce product variants capability.",Product,list,many,array[#/components/schemas/productVariant_Full],merchant_or_domain,not_proven,writable,provider_context,ProductComposition,structured_capability,not_localizable,open_or_typed,domain,bigcommerce,1,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:product:videos,videos,"The Catalog API integrates with third-party YouTube. The [YouTube Terms of Service](https://www.youtube.com/t/terms) and [Google Privacy Policy](https://policies.google.com/privacy) apply, as indicated in our [Privacy Policy](https://www.bigcommerce.com/privacy/) and [Terms of Service](https://www.bigcommerce.com/terms/).",Product,list,many,array[#/components/schemas/productVideo_Full],merchant_or_domain,readable,writable,provider_context,Media,domain_value,not_localizable,open_or_typed,domain,bigcommerce,1,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:product:view_count,"view count","The number of times the product has been viewed.",Product,integer,optional_one,not_applicable,provider_owned,readable,writable,provider_context,Connector,read_or_platform_projection,not_localizable,open_or_typed,projection,bigcommerce,1,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:product:warranty,warranty,"Warranty information displayed on the product page. Can include HTML formatting.",Product,string,optional_one,not_applicable,merchant_or_domain,readable,writable,provider_context,ProductData,provider_field,not_localizable,open_or_typed,reusable_candidate,bigcommerce,1,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:product_modifier:config,config,"BigCommerce product_modifier config capability.",OrderModifier,object_or_controlled,optional_one,ref:#/components/schemas/config_Full,merchant_or_domain,readable,writable,provider_context,OrderCustomization,provider_schema_field,not_localizable,provider_controlled,domain,bigcommerce,1,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:product_modifier:display_name,"display name","The name of the option shown on the storefront.",OrderModifier,string,optional_one,not_applicable,merchant_or_domain,readable,writable,provider_context,OrderCustomization,provider_schema_field,not_localizable,open_or_typed,domain,bigcommerce,1,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:product_modifier:id,id,"The unique numeric ID of the modifier; increments sequentially.",OrderModifier,integer,optional_one,not_applicable,provider_owned,readable,specialized_or_read_only,provider_context,Connector,external_record_identity,not_localizable,open_or_typed,governance,bigcommerce,1,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:product_modifier:name,name,"The unique option name. Auto-generated from the display name, a timestamp, and the product ID.",OrderModifier,string,optional_one,not_applicable,merchant_or_domain,readable,specialized_or_read_only,provider_context,OrderCustomization,provider_schema_field,not_localizable,open_or_typed,domain,bigcommerce,1,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:product_modifier:option_values,"option values","Contains information about the values for modifier types with options. Certain fields are not used for specific modifier types. See [Option Values](#option-values) for more details.",OrderModifier,list,many,array[#/components/schemas/productModifierOptionValue_Post],merchant_or_domain,readable,writable,provider_context,ProductComposition,structured_capability,not_localizable,open_or_typed,domain,bigcommerce,1,not_applicable,not_applicable,bigcommerce:product_option:option_values|bigcommerce:product_variant:option_values,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:product_modifier:product_id,"product id","The unique numeric ID of the product to which the option belongs.",OrderModifier,integer,optional_one,not_applicable,provider_owned,readable,specialized_or_read_only,provider_context,Connector,external_record_identity,not_localizable,open_or_typed,governance,bigcommerce,1,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:product_modifier:required,required,"Whether or not this modifier is required at checkout. Required in a /POST.",OrderModifier,boolean,optional_one,not_applicable,merchant_or_domain,readable,writable,provider_context,OrderCustomization,provider_schema_field,not_localizable,open_or_typed,domain,bigcommerce,1,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:product_modifier:sort_order,"sort order","The order the modifiers display on the product detail page.",OrderModifier,integer,optional_one,not_applicable,merchant_or_domain,readable,writable,provider_context,Connector,channel_context,not_localizable,open_or_typed,channel,bigcommerce,1,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:product_modifier:type,type,"BigCommerce API, which determines how it will display on the storefront. Acceptable values: `date`, `checkbox`, `file`, `text`, `multi_line_text`, `numbers_only_text`, `radio_buttons`, `rectangles`, `dropdown`, `product_list`, `product_list_with_images`, `swatch`. Required in a /POST.",OrderModifier,object_or_controlled,optional_one,ref:#/components/schemas/ProductModifierPostType,merchant_or_domain,readable,writable,provider_context,Connector,channel_context,not_localizable,provider_controlled,channel,bigcommerce,1,not_applicable,not_applicable,bigcommerce:product:type|bigcommerce:product_option:type,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:product_option:config,config,"BigCommerce product_option config capability.",ProductOption,object_or_controlled,optional_one,ref:#/components/schemas/productOptionConfig_Full,merchant_or_domain,readable,specialized_or_read_only,provider_context,VariantComposition,provider_schema_field,not_localizable,provider_controlled,domain,bigcommerce,1,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:product_option:display_name,"display name","The name of the option shown on the storefront.",ProductOption,string,optional_one,not_applicable,merchant_or_domain,readable,specialized_or_read_only,provider_context,VariantComposition,provider_schema_field,not_localizable,open_or_typed,domain,bigcommerce,1,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:product_option:id,id,"The unique numerical ID of the option, increments sequentially.",ProductOption,integer,optional_one,not_applicable,provider_owned,readable,specialized_or_read_only,provider_context,Connector,external_record_identity,not_localizable,open_or_typed,governance,bigcommerce,1,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:product_option:name,name,"The unique option name, auto-generated from the display name, a timestamp, and the product ID.",ProductOption,string,optional_one,not_applicable,merchant_or_domain,readable,specialized_or_read_only,provider_context,VariantComposition,provider_schema_field,not_localizable,open_or_typed,domain,bigcommerce,1,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:product_option:option_values,"option values","BigCommerce product_option option_values capability.",ProductOption,list,many,array[#/components/schemas/productOptionOptionValue_Full],merchant_or_domain,readable,specialized_or_read_only,provider_context,ProductComposition,structured_capability,not_localizable,open_or_typed,domain,bigcommerce,1,not_applicable,not_applicable,bigcommerce:product_modifier:option_values|bigcommerce:product_variant:option_values,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:product_option:product_id,"product id","The unique numerical ID of the product to which the option belongs.",ProductOption,integer,optional_one,not_applicable,provider_owned,readable,specialized_or_read_only,provider_context,Connector,external_record_identity,not_localizable,open_or_typed,governance,bigcommerce,1,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:product_option:sort_order,"sort order","Order in which the option is displayed on the storefront.",ProductOption,integer,optional_one,not_applicable,merchant_or_domain,readable,specialized_or_read_only,provider_context,Connector,channel_context,not_localizable,open_or_typed,channel,bigcommerce,1,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:product_option:type,type,"The type of option, which determines how it will display on the storefront. Acceptable values: `radio_buttons`, `rectangles`, `dropdown`, `product_list`, `product_list_with_images`, `swatch`. For reference, the former v2 API values are: RB = radio_buttons, RT = rectangles, S = dropdown, P = product_list, PI = product_list_with_images, CS = swatch.",ProductOption,object_or_controlled,optional_one,ref:#/components/schemas/ProductOptionBaseType,merchant_or_domain,readable,specialized_or_read_only,provider_context,Connector,channel_context,not_localizable,provider_controlled,channel,bigcommerce,1,not_applicable,not_applicable,bigcommerce:product:type|bigcommerce:product_modifier:type,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:product_variant:calculated_price,"calculated price","The price of the variant as seen on the storefront. This price takes into account `sale_price` and any price adjustment rules that are applicable to this variant.",ProductVariant,decimal,optional_one,not_applicable,provider_owned,readable,specialized_or_read_only,provider_context,Pricing,read_projection,not_localizable,open_or_typed,projection,bigcommerce,1,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:product_variant:calculated_weight,"calculated weight","BigCommerce product_variant calculated_weight capability.",ProductVariant,decimal,optional_one,not_applicable,provider_owned,readable,specialized_or_read_only,provider_context,Connector,read_or_platform_projection,not_localizable,open_or_typed,projection,bigcommerce,1,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:product_variant:id,id,"BigCommerce product_variant id capability.",ProductVariant,integer,optional_one,not_applicable,provider_owned,readable,specialized_or_read_only,provider_context,Connector,external_record_identity,not_localizable,open_or_typed,governance,bigcommerce,1,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:product_variant:image_url,"image url","Publicly available image url",ProductVariant,string,optional_one,not_applicable,merchant_or_domain,readable,writable,provider_context,Media,domain_value,not_localizable,open_or_typed,domain,bigcommerce,1,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:product_variant:option_values,"option values","Array of option and option values IDs that make up this variant. Will be empty if the variant is the productʼs base variant.",ProductVariant,list,many,array[#/components/schemas/productVariantOptionValue_Full],merchant_or_domain,readable,writable,provider_context,ProductComposition,structured_capability,not_localizable,open_or_typed,domain,bigcommerce,1,not_applicable,not_applicable,bigcommerce:product_option:option_values|bigcommerce:product_modifier:option_values,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:product_variant:product_id,"product id","BigCommerce product_variant product_id capability.",ProductVariant,integer,optional_one,not_applicable,provider_owned,readable,writable,provider_context,Connector,external_record_identity,not_localizable,open_or_typed,governance,bigcommerce,1,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:product_variant:purchasing_disabled,"purchasing disabled","If `true`, this variant will not be purchasable on the storefront.",ProductVariant,boolean,optional_one,not_applicable,merchant_or_domain,readable,writable,provider_context,Availability,domain_value,not_localizable,open_or_typed,domain,bigcommerce,1,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:product_variant:purchasing_disabled_message,"purchasing disabled message","If `purchasing_disabled` is `true`, this message should show on the storefront when the variant is selected.",ProductVariant,string,optional_one,not_applicable,merchant_or_domain,readable,writable,provider_context,Availability,domain_value,not_localizable,open_or_typed,domain,bigcommerce,1,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:product_variant:sku_id,"sku id","Read-only reference to v2 APIʼs SKU ID. Null if it is a base variant.",ProductVariant,integer,optional_one,not_applicable,provider_owned,readable,specialized_or_read_only,provider_context,Connector,external_record_identity,not_localizable,open_or_typed,governance,bigcommerce,1,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Provider-local concept; cross-platform merge is deferred to the later campaign pass."
bigcommerce:retail_price,"retail price","The retail cost of the product. If entered, the retail cost price will be shown on the product page.",ProductAndProductVariant,string,optional_one,not_applicable,merchant_or_domain,readable,writable,provider_context,Pricing,domain_value,not_localizable,open_or_typed,domain,bigcommerce,2,not_applicable,not_applicable,bigcommerce:product:map_price|bigcommerce:price|bigcommerce:sale_price,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Shared provider concept with distinct entity binding and explicit per-row contracts."
bigcommerce:sale_price,"sale price","If entered, the sale price will be used instead of value in the price field when calculating the productʼs cost.",ProductAndProductVariant,string,optional_one,not_applicable,merchant_or_domain,readable,writable,provider_context,Pricing,domain_value,not_localizable,open_or_typed,domain,bigcommerce,2,not_applicable,not_applicable,bigcommerce:product:map_price|bigcommerce:retail_price|bigcommerce:price,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Shared provider concept with distinct entity binding and explicit per-row contracts."
bigcommerce:sku,sku,"A unique user-defined alphanumeric product code/stock keeping unit (SKU). The SKU is always unique regardless of the letter case for both products and variants.",ProductAndProductVariant,string,optional_one,not_applicable,merchant_or_domain,readable,writable,provider_context,ProductData,provider_field,not_localizable,open_or_typed,reusable_candidate,bigcommerce,2,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Shared provider concept with distinct entity binding and explicit per-row contracts."
bigcommerce:upc,upc,"The product UPC code, which is used in feeds for shopping comparison sites and external channel integrations.",ProductAndProductVariant,string,optional_one,not_applicable,merchant_or_domain,readable,writable,provider_context,ProductData,provider_field,not_localizable,open_or_typed,reusable_candidate,bigcommerce,2,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Shared provider concept with distinct entity binding and explicit per-row contracts."
bigcommerce:weight,weight,"Weight of the product, which can be used when calculating shipping costs. This is based on the unit set on the store",ProductAndProductVariant,string,optional_one,not_applicable,merchant_or_domain,readable,writable,provider_context,ProductData,provider_field,not_localizable,open_or_typed,reusable_candidate,bigcommerce,2,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Shared provider concept with distinct entity binding and explicit per-row contracts."
bigcommerce:width,width,"Width of the product, which can be used when calculating shipping costs.",ProductAndProductVariant,string,optional_one,not_applicable,merchant_or_domain,readable,writable,provider_context,ProductData,provider_field,not_localizable,open_or_typed,reusable_candidate,bigcommerce,2,not_applicable,not_applicable,not_applicable,provider-pass:no-final-freeze,supported,PROVIDER_VERIFIED,"Shared provider concept with distinct entity binding and explicit per-row contracts."
