external_field,type_or_ref,classification,description,api_surface,read_semantics,write_semantics,source_version,verified_at,source_url
productDetails,array[ProductDetail],semantic_product_field,Technical specification or additional product details.,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
productFee,array[ProductFee],specialized_vertical_field:property,The product fee for the property.,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
productHeight,ref:ProductDimension,semantic_product_field,The height of the product in the units provided. The value must be between 0 (exclusive) and 3000 (inclusive).,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
productHighlights,array[string],semantic_product_field,Bullet points describing the most relevant [product highlights](https://support.google.com/merchants/answer/9216100).,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
productLength,ref:ProductDimension,semantic_product_field,The length of the product in the units provided. The value must be between 0 (exclusive) and 3000 (inclusive).,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
productTypes,array[string],taxonomy_context,Categories of the item (formatted as in [product data specification](https://support.google.com/merchants/answer/7052112#product_category)).,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
productWeight,ref:ProductWeight,semantic_product_field,The weight of the product in the units provided. The value must be between 0 (exclusive) and 2000 (inclusive).,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
productWidth,ref:ProductDimension,semantic_product_field,The width of the product in the units provided. The value must be between 0 (exclusive) and 3000 (inclusive).,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
promotionIds,array[string],channel_context,The unique ID of a promotion.,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
propertyName,string,specialized_vertical_field:property,The name of the property.,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
propertyType,string,specialized_vertical_field:property,The type of property.,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
questionsAndAnswers,array[QuestionAndAnswer],semantic_product_field,"Optional. Contains user-, merchant-, and manufacturer-authored [questions and answers](https://support.google.com/merchants/answer/17085211) about the product. Max 30 question and answer pairs. Max 10000 characters total. Each question can have max 1000 characters. Each answer can have max 1000 characters.",Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
relatedProducts,array[RelatedProduct],relationship_or_variant_capability,Optional. Specifies how other [products are related](https://support.google.com/merchants/answer/17085213) to this product.,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
returnPolicyLabel,string,channel_context,"The return label of the product, used to group products in account-level return policies. Max. 100 characters. For more information, see [Return policy label](https://support.google.com/merchants/answer/9445425).",Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
returns,array[Returns],shipping_returns_domain,Optional. [Return rules](https://support.google.com/merchants/answer/17081382) for the product.,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
salePrice,ref:Price,pricing_or_commercial_domain,Advertised sale price of the item.,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
salePriceEffectiveDate,ref:Interval,pricing_or_commercial_domain,"Date range during which the item is on sale, see [product data specification](https://support.google.com/merchants/answer/7052112#price_and_availability).",Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
sellOnGoogleQuantity,string,channel_or_specialized_context,The quantity of the product that is available for selling on Google. Supported only for online products.,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
shipping,array[Shipping],shipping_returns_domain,Shipping rules.,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
shippingHandlingBusinessDays,array[ShippingBusinessDaysConfig],shipping_returns_domain,"The business days during which orders can be handled. If not provided, Monday to Friday business days will be assumed.",Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
shippingHeight,ref:ShippingDimension,shipping_returns_domain,Height of the item for shipping.,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
shippingLabel,string,channel_context,"The shipping label of the product, used to group products in account-level shipping rules. Max. 100 characters. For more information, see [Shipping label](https://support.google.com/merchants/answer/6324504).",Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
shippingLength,ref:ShippingDimension,shipping_returns_domain,Length of the item for shipping.,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
shippingTransitBusinessDays,array[ShippingBusinessDaysConfig],shipping_returns_domain,"The business days during which orders are in transit. If not provided, Monday to Friday business days will be assumed.",Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
shippingWeight,ref:ShippingWeight,shipping_returns_domain,Weight of the item for shipping.,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
shippingWidth,ref:ShippingDimension,shipping_returns_domain,Width of the item for shipping.,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
shoppingAdsExcludedCountries,array[string],channel_context,List of country codes [(ISO 3166-1 alpha-2)](https://en.wikipedia.org/wiki/ISO_3166-1_alpha-2) to exclude the offer from Shopping Ads destination. Countries from this list are removed from countries configured in data source settings.,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
shortTitle,string,semantic_product_field,The short title of the item.,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
size,string,semantic_product_field,"Size of the item. Only one value is allowed. For variants with different sizes, insert a separate product for each size with the same `itemGroupId` value, see [Size](https://support.google.com/merchants/answer/6324492).",Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
sizeSystem,string,semantic_product_field,"System in which the size is specified. Recommended for apparel items. For more information, see [Size system](https://support.google.com/merchants/answer/6324502).",Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
sizeTypes,array[string],semantic_product_field,"The cut of the item. It can be used to represent combined size types for apparel items. Maximum two of size types can be provided, see [Size type](https://support.google.com/merchants/answer/6324497).",Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
specialtyHousingType,string,specialized_vertical_field:property,The specialty housing type for the property.,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
structuredDescription,ref:StructuredDescription,semantic_product_field,"Structured description, for algorithmically (AI)-generated descriptions.",Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
structuredTitle,ref:StructuredTitle,semantic_product_field,"Structured title, for algorithmically (AI)-generated titles.",Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
subscriptionCost,ref:SubscriptionCost,pricing_or_commercial_domain,"Number of periods (weeks, months or years) and amount of payment per period for an item with an associated subscription contract.",Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
sustainabilityIncentives,array[ProductSustainabilityIncentive],channel_or_specialized_context,The list of sustainability incentive programs.,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
title,string,semantic_product_field,Title of the item.,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
transitTimeLabel,string,channel_context,"The transit time label of the product, used to group product in account-level transit time tables.",Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
trim,string,specialized_vertical_field:vehicle,"The [Trim](https://support.google.com/google-ads/answer/14154176) of the vehicle model, such as `S`, `SV`, `SL` and others.",Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
unitArea,ref:UnitArea,specialized_vertical_field:property,"The unit area of the property, such as `1000 sqft`.",Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
unitPricingBaseMeasure,ref:UnitPricingBaseMeasure,channel_or_specialized_context,The preference of the denominator of the unit price.,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
unitPricingMeasure,ref:UnitPricingMeasure,channel_or_specialized_context,The measure and dimension of an item.,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
utilitiesIncluded,array[string],specialized_vertical_field:property,The utilities included for the property.,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
variantOptions,array[VariantOption],relationship_or_variant_capability,Optional. Contains the [list of all variant-identifying options](https://support.google.com/merchants/answer/17085214) of this product.,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
vehicleAllInPrice,ref:Price,specialized_vertical_field:vehicle,"The all-in advertised price for a vehicle, which includes costs for the following – any accessories attached to the vehicle, environmental levies, extra warranty, fuel, freight, pre-delivery inspection (PDI), dealer fees for handling licensing, provincial regulatory fees, miscellaneous dealer charges for security etching and nitrogen tire fill, and factory-to-customer or dealer-to-customer discounts or incentives. See the [Vehicle all-in price](https://support.google.com/google-ads/answer/14156981) for more information.",Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
vehicleExpenses,ref:Price,specialized_vertical_field:vehicle,The miscellaneous expenses like insurance and registration fees of the vehicle. See the [Vehicle expenses](https://support.google.com/google-ads/answer/15957154) for more information.,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
vehicleMandatoryInspectionIncluded,boolean,specialized_vertical_field:vehicle,Whether the vehicle is sold with mandatory inspection and maintenance performed before delivery. See the [Vehicle mandatory inspection included](https://support.google.com/google-ads/answer/15956630) for more information.`,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
vehicleMsrp,ref:Price,specialized_vertical_field:vehicle,The MSRP (Manufacturer Suggested Retail Price) for the vehicle in its current configuration. See the [Vehicle MSRP](https://support.google.com/google-ads/answer/14154171) for more information.,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
vehiclePriceType,string,specialized_vertical_field:vehicle,The [price type](https://support.google.com/google-ads/answer/14592783) of the vehicle.,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
videoLinks,array[string],media_domain,Optional. A list of video URLs for the item. Use this attribute to provide more visuals for your product beyond your image attributes. See the [Help Center article](https://support.google.com/merchants/answer/15216925) for more information.,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
vin,string,specialized_vertical_field:vehicle,The [Vehicle Identification Number (VIN)](https://support.google.com/google-ads/answer/14154510) of the vehicle.,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
virtualModelLink,string,media_domain,URL of the 3D image of the item. See the [Help Center article](https://support.google.com/merchants/answer/13674896) for more information.,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
warranty,ref:Warranty,specialized_vertical_field:vehicle,The [warranty](https://support.google.com/google-ads/answer/15957626) of the vehicle.,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
year,string,specialized_vertical_field:vehicle,The [Year](https://support.google.com/google-ads/answer/14152816) of the vehicle model.,Merchant API products_v1 ProductAttributes,processed Product output,ProductInput.productAttributes when allowed by Product Data Specification,products_v1,2026-09-07,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1
