concept_key,concept_name,current_status,current_scope,current_kind,current_owner,current_binding,current_verification,current_action,registry_state,lead_decision,proposed_status,proposed_scope_or_owner,proposed_binding,confidence,evidence_summary,materialization_gate,lead_note
preorder_message,Preorder Message,absent,absent,absent,absent,absent,absent,absent,MISSING_UNION,DEFER_EXISTING_DOMAIN_DECISION,proposed,availability_or_content_domain,undecided,LOW_MEDIUM,Current Gate-2 synthesis keeps this open; five blind passes did not add enough cross-provider evidence to resolve it.,MORE_EVIDENCE,Do not add yet.
shape,Shape,absent,absent,absent,absent,absent,absent,absent,MISSING_UNION,ADD_PLATFORM_LIBRARY_BINDING_REVIEW,proposed,platform_library / FieldDefinition,product_and_variant_candidate,HIGH_CONCEPT_MEDIUM_BINDING,Shopify taxonomy exposes a generic Shape attribute and GS1 Global Data Model independently defines Product Shape Code as the shape of the product excluding packaging.,BINDING_AND_VALUE_MODEL_REVIEW,Promote the neutral shape concept; keep category-specific shape variants as provider/taxonomy mappings unless separately justified.
scent,Scent,absent,absent,absent,absent,absent,absent,absent,MISSING_UNION,DISCOVERY_ONLY_SECOND_SOURCE,research_only,platform_library_candidate,undecided,MEDIUM,Shopify taxonomy contains a generic scent attribute and several specialized variants; no second independent broad provider source yet.,SECOND_INDEPENDENT_SOURCE,Keep in expansion queue.
flavor,Flavor,absent,absent,absent,absent,absent,absent,absent,MISSING_UNION,DISCOVERY_ONLY_SECOND_SOURCE,research_only,platform_library_candidate,undecided,MEDIUM,Shopify taxonomy contains a generic flavor attribute plus vertical variants; no second independent broad provider source yet.,SECOND_INDEPENDENT_SOURCE,Keep in expansion queue.
product_form,Product Form,absent,absent,absent,absent,absent,absent,absent,MISSING_UNION,DEFER_SHAPE_FORM_BOUNDARY,proposed,platform_library_candidate,product_candidate,MEDIUM_HIGH,"Shopify taxonomy exposes a generic Product form attribute and GS1 Web Vocabulary independently defines productFormDescription, but GS1 explicitly describes physical form or shape, creating a real overlap with the separate shape concept.",SHAPE_FORM_SEMANTIC_ARBITRATION,Do not materialize a separate product_form field until shape-vs-form semantics are stable; one may become a specialization or representation of the other.
power_source,Power Source,absent,absent,absent,absent,absent,absent,absent,MISSING_UNION,DISCOVERY_ONLY_SECOND_SOURCE,research_only,platform_library_candidate,undecided,MEDIUM,Shopify taxonomy exposes generic power-source; Amazon battery structures are related but do not prove exact equivalence.,SECOND_INDEPENDENT_EXACT_SOURCE,Keep in expansion queue.
activity,Activity / Intended Activity,absent,absent,absent,absent,absent,absent,absent,MISSING_UNION,DISCOVERY_ONLY_SECOND_SOURCE,research_only,platform_library_candidate,undecided,LOW_MEDIUM,Shopify taxonomy exposes generic activity/sport signals; no second independent provider semantic confirmed.,SECOND_INDEPENDENT_SOURCE,Keep discovery-only.
content_language,Content / Product Language,absent,absent,absent,absent,absent,absent,absent,MISSING_UNION,DISCOVERY_ONLY_SECOND_SOURCE,research_only,platform_library_candidate,undecided,LOW_MEDIUM,"Shopify taxonomy exposes language families; semantics vary between product language, content language and compatibility language.",SEMANTIC_SPLIT_AND_SECOND_SOURCE,Do not create a generic language field yet.
aggregate_rating,Aggregate Product Rating,absent,absent,absent,absent,absent,absent,absent,MISSING_UNION,OUT_OF_SCOPE_ANALYTICS,research_only,reviews_analytics_domain,product/domain_record,HIGH,"Shopify standard rating definitions and Schema.org aggregateRating confirm the concept, but analytics/reviews are explicitly excluded from current canonical registry scope.",FUTURE_REVIEWS_DOMAIN,"Real concept, intentionally outside current Product Field scope."
sale_price_period,Sale Price Effective Period,absent,absent,absent,absent,absent,absent,absent,MISSING_UNION,COVERED_BY_EXISTING_PRICING_DOMAIN,covered,pricing_domain,PriceListItem.valid_from/valid_until,HIGH,Google salePriceEffectiveDate maps conceptually to existing PriceListItem validity windows.,MAPPING_POLICY_ONLY,Do not create duplicate Product Field; resolve through Pricing.
related_products,Related Products,absent,absent,absent,absent,absent,absent,absent,MISSING_UNION,RELATION_TYPE_REVIEW,proposed,product_association_domain,relation,HIGH,Shopify standard related-products relation and cross-platform association capabilities confirm the relation concept.,ASSOCIATION_TYPE_TAXONOMY_REVIEW,Not a scalar field. Determine whether existing accessory/cross_sell types cover generic related semantics.
complementary_products,Complementary Products,absent,absent,absent,absent,absent,absent,absent,MISSING_UNION,RELATION_TYPE_REVIEW,proposed,product_association_domain,relation,HIGH,Shopify standard complementary-products relation independently confirms a commerce relation type; current association vocabulary may partially overlap cross_sell/accessory.,ASSOCIATION_TYPE_TAXONOMY_REVIEW,Not a scalar field; avoid duplicate relation semantics.
trade_item_description,Trade Item Description,absent,absent,absent,absent,absent,absent,absent,MISSING_UNION,DEFER_DUPLICATE_BOUNDARY,research_only,content_or_compliance_domain,undecided,LOW_MEDIUM,"Shopify standard trade-item description exists, but no second exact source proves it is distinct enough from description/short_description for this platform.",SECOND_SOURCE_AND_CONTENT_BOUNDARY,Do not add a third description concept without evidence.
package_weight,Package Weight,absent,absent,absent,absent,absent,absent,absent,MISSING_UNION,MERGE_AS_PROVIDER_REPRESENTATION,not_separate,shipping_logistics_domain,n/a,HIGH,"Amazon item_package_weight and Shopify packaged weight are strong representations, but vNext neutral operational concept is shipping_weight to avoid packaging-level overclaim across providers.",N/A,Do not create both shipping_weight and package_weight unless a future packaging hierarchy requires the distinction.
package_dimensions,Package Dimensions,absent,absent,absent,absent,absent,absent,absent,MISSING_UNION,MERGE_AS_PROVIDER_REPRESENTATION,not_separate,shipping_logistics_domain,n/a,HIGH,Amazon item_package_dimensions and shipping-oriented provider dimensions are represented under the proposed shipping_dimensions family.,N/A,Avoid duplicate dimension families until packaging hierarchy is modeled.
product_weight,Generic Product Weight,absent,absent,absent,absent,absent,absent,absent,MISSING_UNION,REJECT_AMBIGUOUS_OVERLAP,rejected,n/a,n/a,HIGH,Google productWeight and other generic weights do not prove DEC-009 net/gross packaging boundaries; adding generic product_weight would create three overlapping weight concepts.,N/A,Keep provider mapping partial; no new generic weight field.
ingredients,Ingredients,absent,absent,absent,absent,absent,absent,absent,MISSING_UNION,ADD_PLATFORM_LIBRARY_MODEL_REVIEW,proposed,platform_library / FieldDefinition_or_ComplianceProjection,product_candidate,HIGH_CONCEPT_MEDIUM_MODEL,Shopify taxonomy exposes generic Ingredients and GS1 independently defines ingredientStatement plus structured ingredient information. This confirms recurring ingredient semantics while leaving text-vs-structured and legal/compliance representation open.,VALUE_MODEL_AND_COMPLIANCE_BOUNDARY_REVIEW,"Accept the neutral ingredients concept, but decide canonical value shape and compliance projections before materialization; do not force all regulated ingredient structures into one text field."
dangerous_goods_classification,Dangerous Goods Classification,absent,absent,absent,absent,absent,absent,absent,MISSING_UNION,ADD_DOMAIN_CANONICAL_MODEL_REVIEW,proposed,compliance_transport_domain,product_variant_or_transport_record,HIGH_CONCEPT_MEDIUM_MODEL,"Amazon PTD carries hazmat/compliance structures, while UN Model Regulations Rev.24 define dangerous-goods classification, listing, packaging, marking and documentation as an international transport-compliance domain. This supports a structured domain concept, not a boolean Product field.",COMPLIANCE_TRANSPORT_MODEL_DECISION,Do not create a canonical is_dangerous_goods boolean as the source of truth; model the transport-compliance classification family before connector materialization.
shelf_life,Shelf Life Semantics,absent,absent,absent,absent,absent,absent,absent,MISSING_UNION,DEFER_STRUCTURED_LIFETIME_MODEL,research_only,inventory_compliance_domain_candidate,product_or_lot_context,HIGH_FAMILY_LOW_EQUIVALENCE,"GS1 Global Data Model distinguishes minimum shelf life at arrival, minimum shelf life from production, and usage period after opening. Google expirationDate is a channel publication/expiry control rather than an exact shelf-life duration, and the frozen five-provider corpus lacks a second exact general shelf-life representation.",SECOND_EXACT_SOURCE_AND_LIFETIME_MODEL,"Track the family so FMCG/beauty is not forgotten, but reject a single shelf_life_days field until lifetime semantics, lot/expiration ownership and exact mappings are resolved."
