object_family,external_field,type_or_ref,classification,read_semantics,write_semantics,required_in,schema_evidence,description,openapi_version,verified_at,source_url
product_variant,sku,string,semantic_product_field,READ,WRITE,none,productVariant_Post|productVariant_Put|productVariant_Full,,3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-product-variants.json
product_variant,sku_id,"['integer', 'null']",external_system_identity,READ,read_only_or_specialized_endpoint,none,productVariant_Full,Read-only reference to v2 APIʼs SKU ID. Null if it is a base variant.,3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-product-variants.json
product_variant,upc,"['string', 'null']",semantic_product_field,READ,WRITE,none,productVariant_Post|productVariant_Put|productVariant_Full,The UPC code used in feeds for shopping comparison sites and external channel integrations.,3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-product-variants.json
product_variant,weight,"['number', 'null']",semantic_product_field,READ,WRITE,none,productVariant_Post|productVariant_Put|productVariant_Full,"This variant’s base weight on the storefront. If this value is null, the product’s default weight (set in the Product resource’s weight field) will be used as the base weight.",3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-product-variants.json
product_variant,width,"['number', 'null']",semantic_product_field,READ,WRITE,none,productVariant_Post|productVariant_Put|productVariant_Full,"Width of the variant, which can be used when calculating shipping costs. If this value is `null`, the productʼs default width (set in the Product resourceʼs `width` field) will be used as the base width.",3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-product-variants.json
product_option,config,ref:#/components/schemas/productOptionConfig_Full,option_modifier_schema,READ,read_only_or_specialized_endpoint,none,productOption_Full,,3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-product-variant-options.json
product_option,display_name,string,option_modifier_schema,READ,read_only_or_specialized_endpoint,none,productOption_Full,The name of the option shown on the storefront.,3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-product-variant-options.json
product_option,id,"['integer', 'null']",external_system_identity,READ,read_only_or_specialized_endpoint,none,productOption_Full,"The unique numerical ID of the option, increments sequentially.",3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-product-variant-options.json
product_option,name,string,option_modifier_schema,READ,read_only_or_specialized_endpoint,none,productOption_Full,"The unique option name, auto-generated from the display name, a timestamp, and the product ID.",3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-product-variant-options.json
product_option,option_values,array[#/components/schemas/productOptionOptionValue_Full],relation_or_structured_capability,READ,read_only_or_specialized_endpoint,none,productOption_Full,,3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-product-variant-options.json
product_option,product_id,integer,external_system_identity,READ,read_only_or_specialized_endpoint,none,productOption_Full,The unique numerical ID of the product to which the option belongs.,3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-product-variant-options.json
product_option,sort_order,integer,channel_or_storefront_context,READ,read_only_or_specialized_endpoint,none,productOption_Full,Order in which the option is displayed on the storefront.,3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-product-variant-options.json
product_option,type,ref:#/components/schemas/ProductOptionBaseType,channel_or_storefront_context,READ,read_only_or_specialized_endpoint,none,productOption_Full,"The type of option, which determines how it will display on the storefront. Acceptable values: `radio_buttons`, `rectangles`, `dropdown`, `product_list`, `product_list_with_images`, `swatch`. For reference, the former v2 API values are: RB = radio_buttons, RT = rectangles, S = dropdown, P = product_list, PI = product_list_with_images, CS = swatch.",3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-product-variant-options.json
product_modifier,config,ref:#/components/schemas/config_Full,option_modifier_schema,READ,WRITE,none,productModifier_Post|productModifier_Full,,3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-product-modifiers.json
product_modifier,display_name,string,option_modifier_schema,READ,WRITE,productModifier_Post,productModifier_Post|productModifier_Full,The name of the option shown on the storefront.,3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-product-modifiers.json
product_modifier,id,integer,external_system_identity,READ,read_only_or_specialized_endpoint,none,productModifier_Full,The unique numeric ID of the modifier; increments sequentially.,3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-product-modifiers.json
product_modifier,name,string,option_modifier_schema,READ,read_only_or_specialized_endpoint,none,productModifier_Full,"The unique option name. Auto-generated from the display name, a timestamp, and the product ID.",3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-product-modifiers.json
product_modifier,option_values,array[#/components/schemas/productModifierOptionValue_Post],relation_or_structured_capability,READ,WRITE,none,productModifier_Post|productModifier_Full,Contains information about the values for modifier types with options. Certain fields are not used for specific modifier types. See [Option Values](#option-values) for more details.,3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-product-modifiers.json
product_modifier,product_id,integer,external_system_identity,READ,read_only_or_specialized_endpoint,none,productModifier_Full,The unique numeric ID of the product to which the option belongs.,3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-product-modifiers.json
product_modifier,required,boolean,option_modifier_schema,READ,WRITE,productModifier_Post|productModifier_Full,productModifier_Post|productModifier_Full,Whether or not this modifier is required at checkout. Required in a /POST.,3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-product-modifiers.json
product_modifier,sort_order,integer,channel_or_storefront_context,READ,WRITE,none,productModifier_Post|productModifier_Full,The order the modifiers display on the product detail page.,3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-product-modifiers.json
product_modifier,type,ref:#/components/schemas/ProductModifierPostType,channel_or_storefront_context,READ,WRITE,productModifier_Post|productModifier_Full,productModifier_Post|productModifier_Full,"BigCommerce API, which determines how it will display on the storefront. Acceptable values: `date`, `checkbox`, `file`, `text`, `multi_line_text`, `numbers_only_text`, `radio_buttons`, `rectangles`, `dropdown`, `product_list`, `product_list_with_images`, `swatch`. Required in a /POST.",3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-catalog-product-modifiers.json
price_list,/stores/{store_hash}/v3/pricelists,capability_endpoint,price_list_domain,READ,WRITE,not_applicable,"DELETE,GET,POST","Official BigCommerce capability endpoint; domain-owned, not a generic Product field.",3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-management-price-lists.json
price_list,/stores/{store_hash}/v3/pricelists/assignments,capability_endpoint,price_list_domain,READ,WRITE,not_applicable,"DELETE,GET,POST","Official BigCommerce capability endpoint; domain-owned, not a generic Product field.",3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-management-price-lists.json
price_list,/stores/{store_hash}/v3/pricelists/records,capability_endpoint,price_list_domain,none,WRITE,not_applicable,"POST,PUT","Official BigCommerce capability endpoint; domain-owned, not a generic Product field.",3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-management-price-lists.json
price_list,/stores/{store_hash}/v3/pricelists/{price_list_id},capability_endpoint,price_list_domain,READ,WRITE,not_applicable,"DELETE,GET,PUT","Official BigCommerce capability endpoint; domain-owned, not a generic Product field.",3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-management-price-lists.json
price_list,/stores/{store_hash}/v3/pricelists/{price_list_id}/assignments,capability_endpoint,price_list_domain,none,WRITE,not_applicable,PUT,"Official BigCommerce capability endpoint; domain-owned, not a generic Product field.",3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-management-price-lists.json
price_list,/stores/{store_hash}/v3/pricelists/{price_list_id}/records,capability_endpoint,price_list_domain,READ,WRITE,not_applicable,"DELETE,GET,POST,PUT","Official BigCommerce capability endpoint; domain-owned, not a generic Product field.",3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-management-price-lists.json
price_list,/stores/{store_hash}/v3/pricelists/{price_list_id}/records/{variant_id},capability_endpoint,price_list_domain,READ,none,not_applicable,GET,"Official BigCommerce capability endpoint; domain-owned, not a generic Product field.",3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-management-price-lists.json
price_list,/stores/{store_hash}/v3/pricelists/{price_list_id}/records/{variant_id}/{currency_code},capability_endpoint,price_list_domain,READ,WRITE,not_applicable,"DELETE,GET,PUT","Official BigCommerce capability endpoint; domain-owned, not a generic Product field.",3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-management-price-lists.json
inventory,/stores/{store_hash}/v3/inventory/adjustments/absolute,capability_endpoint,inventory_domain,none,WRITE,not_applicable,PUT,"Official BigCommerce capability endpoint; domain-owned, not a generic Product field.",3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-management-inventory.json
inventory,/stores/{store_hash}/v3/inventory/adjustments/relative,capability_endpoint,inventory_domain,none,WRITE,not_applicable,POST,"Official BigCommerce capability endpoint; domain-owned, not a generic Product field.",3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-management-inventory.json
inventory,/stores/{store_hash}/v3/inventory/items,capability_endpoint,inventory_domain,READ,none,not_applicable,GET,"Official BigCommerce capability endpoint; domain-owned, not a generic Product field.",3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-management-inventory.json
inventory,/stores/{store_hash}/v3/inventory/locations,capability_endpoint,inventory_domain,READ,WRITE,not_applicable,"DELETE,GET,POST,PUT","Official BigCommerce capability endpoint; domain-owned, not a generic Product field.",3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-management-inventory.json
inventory,/stores/{store_hash}/v3/inventory/locations/metafields,capability_endpoint,inventory_domain,READ,WRITE,not_applicable,"DELETE,GET,POST,PUT","Official BigCommerce capability endpoint; domain-owned, not a generic Product field.",3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-management-inventory.json
inventory,/stores/{store_hash}/v3/inventory/locations/{location_id}/items,capability_endpoint,inventory_domain,READ,WRITE,not_applicable,"GET,PUT","Official BigCommerce capability endpoint; domain-owned, not a generic Product field.",3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-management-inventory.json
inventory,/stores/{store_hash}/v3/inventory/locations/{location_id}/metafields,capability_endpoint,inventory_domain,READ,WRITE,not_applicable,"GET,POST","Official BigCommerce capability endpoint; domain-owned, not a generic Product field.",3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-management-inventory.json
inventory,/stores/{store_hash}/v3/inventory/locations/{location_id}/metafields/{metafield_id},capability_endpoint,inventory_domain,READ,WRITE,not_applicable,"DELETE,GET,PUT","Official BigCommerce capability endpoint; domain-owned, not a generic Product field.",3.1.0,2026-09-07,https://docs.bigcommerce.com/openapi/admin-management-inventory.json
