concept_key,concept_name,current_registry_state,adobe_evidence,shopify_evidence,google_evidence,bigcommerce_evidence,amazon_evidence,project_or_standard_evidence,platform_owner_candidate,representation_candidate,canonical_decision,canonical_scope,enrichment_policy,rationale,review_status
google_vehicle_fields,Google vehicle vertical fields,external_only,none,none,vin/trim/bodyStyle/engine/mileage/... category-attribute subset; vehicle Pricing and Compliance rows excluded,none,none,external platform evidence only,VehicleVertical,vertical_scoped_category_attribute,KEEP_CHANNEL_CANONICAL_ONLY,not_applicable,NOT_PLATFORM_FIELD,Google vehicle category attributes remain provider-scoped vertical semantics. Pricing-owned vehicle values and Compliance-deferred rows are excluded from this aggregate; no automotive platform model is introduced.,GATE2_RECONCILIATION
bigcommerce_visibility,BigCommerce storefront visibility,external_only,none,none,none,is_visible/is_featured/sort_order,none,external platform evidence only,Connector/channel context,connector_context,KEEP_CHANNEL_CANONICAL_ONLY,not_applicable,NOT_PLATFORM_FIELD,"Storefront presentation state is channel context, not Product lifecycle.",LEAD_SYNTHESIS
bigcommerce_metrics,BigCommerce product metrics,external_only,none,none,none,view_count/reviews_count/total_sold,none,external platform evidence only,Connector,derived_projection,KEEP_CHANNEL_CANONICAL_ONLY,not_applicable,NOT_PLATFORM_FIELD,"BigCommerce view/review/sales metrics are external read projections, not connector configuration and not editable canonical Product fields.",GATE2_RECONCILIATION
amazon_product_type,Amazon Product Type,external_only,none,none,none,none,ProductTypeDefinition.productType,external platform evidence only,ProviderSchemaDiscovery,schema_applicability,KEEP_CHANNEL_CANONICAL_ONLY,not_applicable,NOT_PLATFORM_FIELD,Amazon productType selects the PTD/schema applicability context. It must not become merchant Product core or collide with platform ProductType/Merchant Type; Amazon taxonomy item_type fields are tracked separately.,GATE2_RECONCILIATION
amazon_item_type_taxonomy,Amazon Item Type Taxonomy Context,external_only,none,none,none,none,item_type_keyword / item_type_name,external platform evidence only,ConnectorTaxonomy,amazon_taxonomy_context,KEEP_CHANNEL_CANONICAL_ONLY,not_applicable,NOT_PLATFORM_FIELD,Amazon item-type taxonomy context drives provider classification and remains distinct from PTD productType schema applicability and from the platform merchant Category model.,GATE2_RECONCILIATION
amazon_asin,Amazon ASIN,external_only,none,none,none,none,merchant_suggested_asin (seller suggestion; frozen PTD evidence does not establish Catalog ASIN identity),external platform evidence only,ConnectorIdentityReference,seller_suggested_asin_not_established_identity,KEEP_CHANNEL_CANONICAL_ONLY,not_applicable,NOT_PLATFORM_FIELD,"The frozen Amazon pass proves only a seller-suggested ASIN reference, not authoritative Catalog ASIN identity. Preserve it as connector-owned channel/identity-reference semantics and do not promote it to Product identity authority.",GATE2_RECONCILIATION
meta_keywords,SEO meta keywords,external_only,meta_keywords/meta_keyword,none,none,meta_keywords/search_keywords,none,external platform evidence only,Connector/channel context,connector_context,REJECT_FROM_PLATFORM_CANONICAL,not_applicable,NOT_PLATFORM_FIELD,Legacy/channel search metadata is not sufficiently universal and should not expand the platform SEO canonical set.,LEAD_SYNTHESIS
tax_classification,Tax Classification,missing_or_candidate,tax_class_id / tax_class_name; Adobe research flags cross-platform tax-category candidate,none,none,Product.tax_class_id / Product.product_tax_code,LUGGAGE.product_tax_code,Independent Adobe + BigCommerce + Amazon evidence; no current [Resolved] owner/binding contract,Pricing_or_Compliance_domain,undecided,DEFER_NEW_DOMAIN_DECISION,undecided,SOURCE_FACT_REQUIRED,"Repeated cross-platform tax classification semantic must not be lost, but final domain owner, jurisdiction semantics and Product/Variant binding are not [Resolved]. Do not create a FieldDefinition.",LEAD_REVIEW_CORRECTION
map_price,Minimum Advertised Price,missing_or_candidate,map_price / map_enabled,none,none,Product.map_price,none,Adobe + BigCommerce independent commerce evidence; distinct from [Resolved] recommended retail price,Pricing_domain,undecided,DEFER_NEW_DOMAIN_DECISION,undecided,SOURCE_FACT_REQUIRED,"MAP is an advertised-price floor/policy semantic, not a non-binding recommended retail/reference price. Preserve as a distinct deferred Pricing candidate; do not merge with recommended_retail_price.",LEAD_REVIEW_CORRECTION
expected_availability_date,Expected Availability Date,resolved_domain_capability,availability/inventory date semantics may vary by account capability,inventory incoming state evidence; no one-to-one date mapping frozen,availabilityDate,preorder_release_date,merchant_release_date,[Resolved] Availability Foundation already preserves Stock.expected_date / expected_quantity,Availability_domain,existing_domain_capability,KEEP_DOMAIN_CANONICAL,system,SOURCE_FACT_REQUIRED,Already-resolved availability-domain concept. External channel representations confirm usefulness; it is not a new generic FieldDefinition.,LEAD_REVIEW_CORRECTION
document_manual_asset,Document / Manual Asset,resolved_domain_capability,rich Product assets / downloadable or document-capable surfaces,Files / media / metafield references,documentLinks,none,compliance_media / product-type asset references,"[Resolved] Platform Product Capability Baseline explicitly includes manuals, documents/PDFs and certificates as Product assets",Media_domain,MediaAsset_asset_type,KEEP_DOMAIN_CANONICAL,system,SOURCE_FACT_REQUIRED,File/manual assets are distinct from the textual instructions FieldDefinition and belong to the existing conceptual Media domain.,LEAD_REVIEW_CORRECTION
short_title,Short Product Title / Subtitle,missing_or_candidate,none,StandardMetafieldDefinition descriptors.subtitle,shortTitle,none,none,Google + Shopify independent evidence; no current [Resolved] platform semantic,FieldDefinition_or_Content_domain,undecided,DEFER_NEW_DOMAIN_DECISION,undecided,AI_TEXT_DERIVABLE,"Short title/subtitle is distinct from short_description. Cross-platform evidence exists, but platform ownership/localization semantics are not yet [Resolved].",LEAD_REVIEW_CORRECTION
unit_pricing_measure,Unit Pricing Measure,missing_or_candidate,none,unit_price_measurement.measurement / unit,unitPricingMeasure / unitPricingBaseMeasure,none,none,Google + Shopify evidence; regulatory/market semantics vary and no current [Resolved] domain contract exists,Pricing_or_Compliance_domain,structured_measure,DEFER_NEW_DOMAIN_DECISION,undecided,SOURCE_FACT_REQUIRED,"Potentially reusable unit-pricing semantic, but legal/market applicability and domain ownership must be resolved before canonical implementation.",LEAD_REVIEW_CORRECTION
order_time_customization_options,Order-time Product Customization Options,missing_or_candidate,custom options capability,purchase/order-time property patterns outside canonical Product options,none,product modifiers family,none,External structured-capability evidence; no current platform persistence/domain decision,Product_customization_domain,structured_capability,DEFER_NEW_DOMAIN_DECISION,undecided,NOT_AI_ELIGIBLE,Order-time customization/modifiers are not ProductVariant option dimensions and not generic FieldDefinition values. Preserve as a deferred structured capability.,LEAD_REVIEW_CORRECTION
certifications,Product Certifications,missing_or_candidate,compliance/certificate capabilities vary by product type,standard taxonomy contains certification/standards attributes,certifications,none,safety_and_compliance product-type fields,Multiple external compliance vocabularies; no generalized legal/platform contract,Compliance_domain,undecided,DEFER_NEW_DOMAIN_DECISION,undecided,SOURCE_FACT_REQUIRED,Certification claims require source/legal evidence and category/jurisdiction semantics. Preserve candidate without creating generic editable fields.,LEAD_REVIEW_CORRECTION
preorder_message,Preorder Message,missing_or_candidate,none,selling-plan/preorder capabilities,none,Product.preorder_message,none,Related to existing availability/preorder policy but no [Resolved] merchant-content field contract,Availability_or_Content_domain,undecided,DEFER_NEW_DOMAIN_DECISION,undecided,AI_TEXT_DERIVABLE_WITH_SOURCE,Merchant-facing preorder copy is distinct from expected availability date/policy; preserve for later ownership/localization decision.,LEAD_REVIEW_CORRECTION
